type,1,2,3,4,5,6,7,8,9,10
normal,8.883749e-29,0.00024050474,2.1146432e-30,5.638629e-15,4.9276256e-28,6.3412276e-38,8.499619e-13,2.6488765e-09,1.0,0.0
normal,5.670347e-19,4.4636685e-24,1.7401965e-13,1.4834508e-30,2.2353892e-25,2.3001475e-08,4.6755874e-22,6.479601e-32,7.4895966e-16,3.537855e-35
attack,2.0578712e-15,4.6364753e-06,0.99999726,1.6861636e-25,0.0,1.0,4.125692e-20,0.9999999,1.0,0.8528677
normal,1.1700116e-21,0.0,0.5349596,1.3489803e-11,2.9005178e-05,1.2317411e-20,1.9666174e-08,2.0216662e-38,4.0436174e-24,4.7732768e-17
attack,0.0,0.9999933,0.077397525,0.999956,8.764954e-11,0.9936451,1.9491933e-15,5.693405e-13,0.9931122,0.81718904
normal,1.5606382e-38,1.3864575e-22,3.3664245e-24,1.0416639e-26,7.936248e-17,4.8734623e-16,5.1997575e-32,1.4951146e-07,2.0953015e-28,2.36323e-26
attack,1.0,0.119951904,1.0,1.0,1.0,0.99999833,4.5297173e-20,1.4198372e-11,0.0,1.0
attack,0.99912786,0.0,1.0,1.0,1.77987e-33,0.9846997,0.9991857,1.0,5.9813964e-23,2.72905e-27
normal,0.0,1.9476003e-25,0.28309256,3.3622397e-17,0.6276828,6.7117294e-18,0.001229763,0.0,0.0,1.0547184e-27
attack,2.722608e-16,1.0,1.0,5.5593887e-23,2.8607282e-20,0.99984443,6.153405e-29,1.0,0.9922067,1.7410597e-28
attack,5.6192394e-15,8.789759e-31,1.0,1.0,1.2579748e-31,0.0,0.9999988,0.54985636,0.9760764,2.8482604e-05
attack,4.1830002e-18,1.0,1.0,1.0,0.07745838,4.748508e-12,1.0,1.0378306e-37,1.1097765e-07,1.7288304e-06
normal,0.0,8.9094565e-18,3.7221144e-32,4.592328e-38,1.3261129e-25,1.4521338e-14,1.6432364e-19,6.878789e-25,1.6351378e-09,0.0004504025
attack,0.0,4.701088e-12,1.0,1.0,0.9981911,6.786878e-08,1.1708129e-10,0.9833292,0.99999976,4.0584763e-07
attack,3.2673264e-10,1.692641e-24,4.4056767e-32,1.0,4.705801e-07,1.0,1.0,5.800802e-10,1.0,1.0
normal,4.5613394e-30,4.5739e-31,6.297291e-09,0.003990978,7.683096e-26,9.31495e-06,3.6390405e-25,5.146216e-19,1.7043962e-11,2.2946688e-24
attack,2.3482042e-34,2.5756643e-12,1.3879484e-09,1.0,1.0,1.0,1.0,0.0069307685,4.6090252e-35,1.0
normal,4.9617364e-25,1.0684278e-05,6.0976336e-20,3.5817616e-25,5.9183253e-22,0.0002604127,6.454369e-23,4.618178e-27,2.4806397e-14,0.0
attack,1.1813807e-10,5.082917e-22,1.0,0.0021653473,1.0,1.5478915e-07,1.0,1.0,7.4982645e-22,0.057424784
normal,1.0552198e-30,0.0,1.2684511e-08,3.398871e-07,3.3520302e-26,3.12345e-24,4.1401924e-22,6.4335665e-10,2.6641304e-22,3.4197092e-33
normal,1.0997307e-24,3.5596404e-14,1.252359e-30,0.019536257,1.9437323e-26,6.9611593e-37,1.484373e-12,6.0826856e-23,4.478221e-07,1.7862442e-32
normal,3.6546553e-05,1.0904071e-31,0.0,0.29851404,0.47336847,3.248881e-22,4.363513e-31,5.172192e-35,2.662815e-18,4.1342035e-05
normal,1.0172524e-37,0.0,1.6109629e-25,6.6912404e-29,1.7524762e-05,8.348501e-22,0.0,0.0,5.6863517e-20,3.2539282e-30
normal,1.1850082e-31,4.5268567e-17,3.9994097e-07,3.9992602e-28,0.00026223063,7.0464893e-12,5.682323e-11,3.406541e-36,1.7808525e-28,0.0010594726
attack,6.198908e-19,0.0,0.99897623,1.4750058e-27,1.5046176e-30,1.0,1.0,0.0,1.0,1.0
normal,1.0092081e-24,0.0,4.148159e-15,1.7898668e-07,1.8987696e-05,2.570759e-25,1.5884387e-07,7.861136e-31,3.5771972e-27,0.13417014
attack,7.558451e-05,0.9959253,5.662253e-15,0.026207328,0.88511324,0.7428285,0.04884863,5.100089e-06,2.49456e-22,1.0
normal,0.0,0.0,3.1907758e-28,0.0007069707,3.9070993e-33,5.0789817e-11,4.4018567e-35,3.382722e-05,0.000112595466,5.519152e-17
normal,1.3916454e-29,0.0,6.628788e-23,9.715094e-13,1.711681e-05,3.0220283e-06,2.617807e-31,0.9918971,1.4644438e-11,1.1565223e-20
normal,1.4392194e-16,1.5329958e-10,0.013708919,4.32793e-27,0.98180795,1.6302114e-20,9.011902e-25,1.05356335e-10,4.4552464e-17,2.6998785e-21
attack,1.247595e-31,0.00023546815,3.7615056e-08,5.536814e-09,0.99999964,0.9941414,4.9885218e-15,0.9999709,0.99999976,0.042333245
normal,6.507486e-08,1.00236996e-26,8.8189045e-10,1.8564282e-26,2.9353225e-21,0.004343629,1.1382955e-11,3.302474e-22,2.2186647e-30,7.636203e-25
attack,1.1256458e-11,1.0,1.4563497e-18,0.99999124,1.7664143e-28,1.0,3.3778455e-10,2.063508e-22,0.999412,1.0
attack,2.9326213e-16,1.0,6.942541e-15,9.281605e-16,1.5048017e-37,1.0,3.555725e-29,1.0,1.0,1.0
attack,1.7728057e-37,6.5245533e-37,1.0,3.479044e-11,0.99903595,3.2811315e-08,0.0,0.57598615,7.150305e-16,0.9999993
normal,4.786164e-26,3.766117e-18,1.20731265e-14,0.0,1.1843906e-21,4.583295e-09,1.8469536e-06,8.311771e-36,1.4209104e-18,0.99734044
attack,0.0,2.1237048e-38,0.9999997,0.9900885,1.0,9.137302e-28,9.30726e-34,1.0,0.9966638,1.0
normal,1.2461629e-24,1.245367e-35,6.165349e-08,1.9654587e-08,1.0059091e-19,4.7483923e-26,0.49982226,1.3898563e-12,2.1073104e-12,3.3386503e-37
attack,3.4836087e-32,1.0,2.2438506e-22,4.2659447e-13,1.0,5.5964956e-05,1.0,0.99981505,1.0,2.9440335e-30
normal,3.950989e-12,0.9521096,3.881417e-13,0.9999986,1.0756242e-33,3.208873e-16,0.007906735,4.8473415e-22,0.016838163,2.220349e-23
normal,1.31881285e-14,1.9950181e-07,0.0,0.99151194,0.9999988,8.035246e-26,2.6015908e-08,7.5047565e-38,1.2968171e-18,2.0231464e-24
attack,0.14093658,1.5340579e-32,0.15774158,5.4314286e-25,0.99616444,0.10074696,1.0,3.3616694e-13,9.488334e-26,0.9999996
attack,5.000036e-27,0.0,1.3564932e-19,0.3695839,3.681954e-23,0.007878214,1.0,0.9816017,0.98700416,1.0
normal,0.0,1.632982e-19,1.3444056e-11,1.0,1.7584026e-07,7.1216944e-31,1.0347987e-29,6.228306e-17,5.6880505e-14,0.965721
normal,7.7518473e-31,1.5893628e-30,1.097497e-09,1.995907e-20,1.1381443e-21,1.577271e-30,2.1837382e-19,1.0383373e-11,1.2814399e-18,1.2974145e-05
normal,0.0,2.5725574e-15,4.0730166e-09,2.7247108e-28,1.8281982e-07,1.3229539e-19,1.2838033e-10,7.6083375e-20,0.0,1.4152264e-16
normal,9.0118555e-20,5.4725886e-32,4.1250552e-16,9.03694e-15,2.4321976e-20,1.022161e-08,0.0,2.3406576e-14,5.075762e-24,0.0
attack,0.012548685,1.3886973e-21,0.39265043,1.0,1.0,1.0,0.0001771748,4.2305583e-21,1.0,1.0
attack,0.0,0.0,1.0,0.016415238,1.0,4.3806373e-18,1.3690623e-28,1.0,0.999998,1.0
